"월","대여소ID","월평균회전율","월최대회전율"
6,1643,154.81,225
6,1646,44.97,74.07
6,1650,95.47,128.57
6,1651,64.96,88.33
6,1652,52.82,100
6,1653,99.26,120.51
6,1654,67.29,100
6,1655,89.38,113.1
6,1656,100.95,127.5
6,1657,73.18,95.74
6,1659,87.6,111.11
6,1660,77.4,103.33
6,1661,94.52,152.78
6,1662,113.46,165.96
6,1663,128.63,174.03
6,1664,77.34,136.84
6,1665,90.01,130.3
6,1666,99.83,135
6,1667,90.1,133.33
6,1668,65.59,126.19
6,1669,110.22,127.16
6,1670,90.03,117.02
6,1671,102.94,147.37
6,1672,75.28,100
6,1673,99.51,115.74
6,1674,128.18,178.26
6,1675,49.8,87.5
6,1677,95.18,139.29
6,1678,78.82,106.67
6,1679,56.59,91.3
6,1680,43.99,92.86
6,1681,86.19,121.43
6,1682,81.41,110.87
6,1683,91.73,118.75
6,1684,124.4,147.37
6,1685,89.98,143.75
6,1686,120.6,150.91
6,1688,106.27,142
6,1689,98.97,135.48
6,1690,111.88,150
6,1691,93.07,127.27
6,1692,113.65,141.07
6,1693,66.92,100
7,1601,143.2,190.28
7,1602,92.32,129.82
7,1603,106.59,143.24
7,1605,85.34,111.11
7,1606,112.23,148.57
7,1608,106.13,125.19
7,1610,103.39,143.37
7,1611,91.78,110.66
7,1616,104.67,136.26
7,1617,68.84,94.55
7,1619,77.33,104.65
7,1620,87.13,105.48
7,1623,87.3,108.96
7,1625,97.05,114.18
7,1628,68.56,105.56
7,1630,92.33,127.03
7,1634,75.39,105.26
7,1635,49.78,100
7,1636,100.29,117.86
7,1637,98.41,118.75
7,1639,84.49,119.23
7,1640,91.36,128.21
7,1641,59.97,88.89
7,1642,86.02,113.04
7,1643,128.01,189.29
7,1646,41.03,96.67
7,1650,90.04,124.14
7,1651,65.74,94.83
7,1652,58.7,104.55
7,1653,100.72,117.99
7,1654,65.71,112
7,1655,84.91,107.84
7,1656,96.96,116.87
7,1657,61.27,118.92
7,1659,86.87,113.79
7,1660,74.69,115.38
7,1661,84.04,113.46
7,1662,106.43,160.61
7,1663,115.25,162.2
7,1664,65.57,122.22
7,1665,90.76,114.1
7,1666,96.52,142.31
7,1667,86.34,109.8
7,1668,107.08,130.77
7,1669,101.7,131.25
7,1670,82.7,103.7
7,1671,79.04,129.73
7,1672,67.23,97.44
7,1673,91.85,110
7,1674,111.6,159.65
7,1675,42.91,73.68
7,1677,84.18,137.5
7,1678,54.99,87.23
7,1679,37.68,68.75
7,1680,28.63,66.67
7,1681,81.05,104.44
7,1682,75.16,102.78
7,1683,89.35,114
7,1684,120.5,165.43
7,1685,83.81,142.11
7,1686,110.82,152.11
7,1688,108.82,178.38
7,1689,91.56,130
7,1690,100.41,154.84
7,1691,85.55,109.09
7,1692,96.51,132.73
7,1693,54.07,95.65
8,1601,156.16,193.44
8,1602,120.08,165.12
8,1603,116.23,163.79
8,1605,104.61,129.35
8,1606,113.72,178.85
8,1608,108.93,125.2
8,1610,122.31,167.65
8,1611,99.53,108
8,1616,106.15,126.24
8,1617,84.14,119.05
8,1619,105.51,133.33
8,1620,96.46,116.67
8,1623,98.69,115.96
8,1625,102.18,121.88
8,1628,80.51,129.31
8,1630,112.41,172.22
8,1634,88.22,129.85
8,1635,74.2,132.26
8,1636,107.27,127.53
8,1637,106.33,132.2
8,1639,114.72,179.17
8,1640,95.07,170.93
8,1641,78.02,158.97
8,1642,98.95,145.71
8,1643,168.57,268.75
8,1646,67.92,122.5
8,1650,101.8,132.94
8,1651,79.95,114.52
8,1652,79.67,125
8,1653,105.2,118.7
8,1654,83.52,145.95
8,1655,95.1,128.36
8,1656,109.82,132
8,1657,80.72,120.45
8,1659,92.89,135.48
8,1660,88.94,123.53
8,1661,103.79,134.29
8,1662,135.14,180.7
8,1663,128.87,172.92
8,1664,68.63,117.65
8,1665,98.44,121.82
8,1666,100.63,134.78
8,1667,98.08,126.39
8,1668,110.96,122.67
8,1669,105.43,116.24
8,1670,99.47,120
8,1671,106.64,150.88
8,1672,76.8,111.94
8,1673,100.18,113.59
8,1674,130.02,174.58
8,1675,75.19,150
8,1677,96.06,146.15
8,1678,68.77,102.86
8,1679,62.54,112
