"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53"
"1667",743,68,0,188,298,302,774,507,87,191,1769,0,32,374,61,176,155,522,44,122,73,646,18,503,192,278,99,229,119,78,134,112,108,115,264,481,30,171,791,207,30,179,109,0,131,260,511,79,112,245,77,162,98
"1668",657,51,149,229,265,396,705,384,68,0,507,0,33,362,46,146,50,541,52,126,116,661,14,668,343,174,94,254,134,63,510,96,101,136,15,406,37,36,1196,222,32,247,88,51,181,405,325,93,397,332,16,153,79
"1669",400,87,383,353,55,390,503,404,92,232,675,0,64,277,73,143,0,146,46,149,80,645,11,232,266,170,82,323,161,77,711,239,91,125,4,377,45,143,1102,185,63,208,72,70,37,510,334,127,473,313,70,220,102
"1670",448,81,419,353,67,614,898,244,116,619,888,0,66,199,64,159,52,263,34,237,79,548,19,0,84,175,111,286,164,86,306,159,57,123,559,487,53,176,1611,152,49,171,68,78,120,500,285,147,416,323,83,54,126
"1671",435,111,326,314,96,147,1090,236,154,641,942,14,115,300,33,241,128,294,10,248,64,523,7,272,126,182,137,273,136,79,0,43,94,132,622,452,48,65,1450,163,49,127,109,72,222,742,228,140,459,248,97,216,121
"1672",274,111,410,295,94,548,1077,239,175,621,760,31,25,461,36,306,133,341,33,325,90,298,16,783,154,47,133,198,152,80,202,68,87,155,582,409,27,0,414,147,69,162,96,58,90,689,231,131,483,299,100,326,212
"1673",295,102,407,320,116,756,1478,216,161,607,780,30,109,369,31,329,162,324,36,60,156,315,19,935,148,100,156,301,71,114,656,92,24,158,424,373,36,48,593,121,97,123,59,57,0,149,238,175,453,264,90,143,189
"1674",285,106,352,292,125,308,1483,201,168,745,936,31,155,620,26,310,167,324,29,268,143,281,22,845,155,119,49,411,70,151,822,113,70,210,771,233,58,218,754,33,106,78,69,71,60,176,188,209,432,256,51,0,57
"1675",234,208,349,279,106,0,448,192,185,584,924,21,58,562,37,294,238,290,40,413,220,199,13,917,130,119,154,351,87,166,692,74,106,60,1128,254,89,211,764,14,185,129,33,95,238,334,52,193,266,242,89,87,70
"1677",46,178,210,247,119,230,528,163,236,467,726,29,0,160,38,331,200,265,36,158,167,226,24,993,164,125,254,548,70,139,753,81,106,204,969,224,125,197,767,19,24,166,39,115,284,292,21,275,448,137,72,346,119
"1678",52,222,357,128,147,758,825,42,212,381,817,40,75,261,40,376,186,262,27,0,30,205,22,857,142,156,108,508,61,154,820,78,109,306,1397,175,114,221,660,27,119,158,38,117,252,261,33,60,598,130,112,391,103
"1679",48,41,471,136,169,865,852,0,299,758,493,45,168,323,8,393,119,224,24,168,59,214,18,775,111,120,0,121,72,157,618,89,98,127,1454,199,104,237,774,32,202,199,37,92,275,283,39,318,615,140,99,380,86
"1680",47,222,506,117,218,748,732,79,77,1021,479,49,152,331,135,545,219,108,52,387,106,34,29,608,136,161,33,155,65,207,626,71,73,0,365,195,158,185,775,21,81,252,24,121,302,341,35,248,989,106,126,408,50
"1681",58,313,692,101,230,692,732,108,234,957,409,58,237,320,170,118,351,131,53,436,134,33,42,1105,81,172,218,240,22,226,417,64,89,86,539,181,165,214,706,14,0,115,27,150,233,317,39,0,877,110,125,366,96
"1682",54,114,679,92,241,777,827,138,376,1207,326,51,343,276,145,483,330,105,102,369,103,36,11,1439,106,192,308,277,59,310,758,41,111,315,700,31,173,133,621,11,66,77,24,136,187,286,36,0,227,107,152,345,110
"1683",43,0,218,135,289,744,796,127,160,1215,395,41,385,357,151,776,432,93,87,352,116,41,46,1295,86,263,258,193,66,66,1032,38,134,335,805,72,256,190,379,21,204,123,4,149,193,279,52,153,329,94,175,301,80
"1684",56,108,316,75,323,594,662,115,0,340,409,54,329,302,151,250,469,86,90,3,123,45,65,1807,44,208,247,218,65,290,930,42,139,311,644,84,70,263,426,25,211,139,1,182,322,190,59,474,478,14,166,243,85
"1685",58,277,411,20,340,434,684,137,111,462,386,63,268,287,125,0,128,92,97,175,93,48,25,1670,22,239,251,268,63,435,1294,27,144,358,691,91,184,329,412,35,182,129,2,52,469,186,69,561,478,31,220,287,53
"1686",94,308,431,110,492,692,353,163,360,647,77,74,174,263,160,217,178,97,129,245,95,54,0,427,0,276,242,273,67,149,1196,22,138,354,817,90,317,373,313,23,171,115,7,180,452,181,75,522,427,29,52,439,54
"1688",111,296,381,145,106,1111,388,198,435,637,15,102,301,180,205,723,276,11,132,209,102,45,17,658,0,280,209,199,65,0,466,23,136,365,831,76,141,388,334,22,183,151,1,284,563,149,82,544,401,30,189,542,55
"1689",131,277,321,178,489,1046,384,185,393,641,31,27,468,184,242,833,314,30,192,316,59,61,74,891,0,278,121,174,80,115,563,25,159,288,650,73,0,101,355,38,160,189,1,121,466,171,95,530,506,34,307,801,33
"1690",144,320,389,171,713,1295,281,200,401,574,15,109,426,161,279,761,258,22,47,513,50,66,52,863,69,422,244,110,88,387,918,3,177,230,621,99,47,150,312,32,156,130,1,0,127,162,111,524,407,31,139,714,35
"1691",149,297,329,163,240,1319,275,182,444,676,25,151,635,115,253,814,232,23,117,448,59,49,68,788,68,103,322,126,100,95,970,84,235,428,366,112,326,197,77,38,113,164,2,95,190,150,123,429,365,24,0,178,55
"1692",179,257,297,153,0,458,308,219,390,580,21,57,634,119,289,855,218,21,189,719,35,52,91,815,78,325,216,139,170,335,744,89,53,556,349,148,443,224,55,55,196,105,4,289,242,29,111,343,332,31,92,224,33
"1693",181,213,279,199,212,559,254,259,358,562,33,0,177,101,348,765,233,42,99,780,33,62,93,874,91,527,450,78,143,417,751,71,225,526,403,130,350,210,65,15,236,99,13,325,230,67,154,595,204,45,312,401,10
