"월","대여소번호","월평균회전율","월최대회전율"
8,1643,103.48,200
8,1646,27.44,72
8,1650,67.66,100
8,1651,43.55,69.05
8,1652,30.55,83.33
8,1653,92.31,124
8,1654,50.69,85.71
8,1655,77.66,106.56
8,1656,95.11,150
8,1657,78.21,130
8,1659,66.07,85.19
8,1660,57.82,90.48
8,1661,73.8,100
8,1662,103.96,145.16
8,1663,90.83,136
8,1664,38.66,73.68
8,1665,73.01,120.83
8,1666,77.77,121.43
8,1667,68.45,100
8,1668,90.98,112.2
8,1669,75.24,100
8,1670,62.5,87.18
8,1671,49.83,89.29
8,1672,39.5,70.59
8,1673,96.12,121.28
8,1674,91.4,151.72
8,1675,28.27,73.68
8,1677,60.15,100
8,1678,26.71,66.67
8,1679,36.77,70
8,1680,24.5,70
8,1681,68.89,97.83
8,1682,61.89,93.33
9,1601,139.93,201.92
9,1602,90,133.33
9,1603,103.64,142.11
9,1605,83.71,104.55
9,1606,103.48,150
9,1608,107.52,137.08
9,1610,102.88,123.08
9,1611,91.48,110
9,1616,98.69,122.39
9,1617,54.93,82.35
9,1619,86.67,108.89
9,1620,80.4,103.7
9,1623,79.14,107.06
9,1625,91.58,126.87
9,1627,72.47,129.17
9,1628,63.2,95.24
9,1630,67.3,100
9,1634,70.37,93.55
9,1635,48.3,86.67
9,1636,107.67,135.85
9,1637,99.44,117.72
9,1639,66.1,109.52
9,1640,84.56,130.77
9,1641,55.06,90.32
9,1642,98.13,135.29
9,1643,149.74,200
9,1646,42.62,84.38
9,1650,80.77,108.33
9,1651,60.2,102.33
9,1652,33.76,83.33
9,1653,96.77,113.73
9,1654,55.33,95.45
9,1655,87.1,113.79
9,1656,101.33,145.71
9,1657,88.8,184.21
9,1659,79.15,108
9,1660,77.16,117.86
9,1661,80.75,104.35
9,1662,129.03,206.06
9,1663,107.67,145.83
9,1664,52.2,111.76
9,1665,86.26,128.12
9,1666,81.66,127.27
9,1667,78.04,103.12
9,1668,103.2,123.44
9,1669,85.98,118.6
9,1670,74.73,91.43
9,1671,81.65,134.38
9,1672,63.27,93.1
9,1673,101.95,138.78
9,1674,106.34,139.47
9,1675,36.83,76.47
9,1677,85.45,130
9,1678,49.23,91.67
9,1679,54.64,90.62
9,1680,41.03,100
9,1681,74.64,114.58
9,1682,66.15,100
10,1601,124.37,163.46
10,1602,82.49,129.17
10,1603,93.91,141.94
10,1605,82.54,138.1
10,1606,110.51,151.43
10,1608,99.16,124
10,1610,100.22,128.57
10,1611,89.33,111.11
10,1616,96.8,119.23
10,1617,53.14,78.33
10,1619,85.58,106.15
10,1620,79.88,102.44
10,1623,80.1,112.2
10,1625,87.89,110.47
10,1627,65.07,114.81
10,1628,64.31,100
10,1630,64.07,95.24
10,1634,61.68,97.87
10,1635,49.12,73.33
10,1636,103.68,126.92
10,1637,97.35,128.07
10,1639,51.03,96
10,1640,85.78,130.43
10,1641,39.27,83.33
10,1642,93.07,147.62
10,1643,143.38,186.67
10,1646,40.88,109.68
10,1650,79.22,110.17
10,1651,60.66,95
10,1652,29.16,80
10,1653,95.46,126.19
10,1654,48.41,78.57
10,1655,86.5,118
10,1656,100.21,158.33
10,1657,87.3,119.05
10,1659,73.17,122.22
10,1660,72.05,122.73
10,1661,83.28,114.29
10,1662,128.39,180
10,1663,113.65,144.83
10,1664,48.26,90
10,1665,71.4,121.88
10,1666,86.42,110
10,1667,75.31,108.57
10,1668,102.29,127.27
10,1669,86.43,129.03
10,1670,62.81,90.48
10,1671,80.19,125
10,1672,60.06,89.19
10,1673,101.27,150
10,1674,101.53,142.86
10,1675,37.98,76.47
10,1677,88.87,133.33
10,1678,46.28,76
10,1679,55.34,112.9
10,1680,42.5,108.33
10,1681,76,120
10,1682,63.93,93.75
10,1684,14.18,24
10,1685,18.18,18.18
11,1601,98.59,153.85
11,1602,67.71,117.39
11,1603,76.73,117.65
11,1605,62.95,100
11,1606,91.29,164.29
11,1608,94.21,121.88
11,1610,76.91,119.57
11,1611,77.04,110.29
11,1616,90.36,123.53
11,1617,43.38,78.38
11,1619,80.45,111.43
11,1620,71.49,100
11,1623,68.06,92.06
11,1625,75.62,106.67
11,1627,50.19,92.31
11,1628,50.86,92.31
11,1630,45.58,92.86
11,1634,54.76,86.05
11,1635,45,113.33
11,1636,94.89,114.52
11,1637,88.99,122
11,1639,42.64,92.86
11,1640,68.75,100
11,1641,34.94,54.17
11,1642,92.96,140
11,1643,107.89,178.26
11,1646,29.65,80
11,1650,59.16,94.74
11,1651,42.76,88.46
11,1652,22.35,50
11,1653,86.39,106.67
11,1654,38.74,60.87
11,1655,67.16,107.32
11,1656,91.24,130.56
11,1657,65.02,100
11,1659,63.4,100
11,1660,65.11,107.69
11,1661,71.47,92.59
11,1662,102.4,171.88
11,1663,97.72,128.89
11,1664,37.46,83.33
11,1665,67.55,117.65
11,1666,76.25,107.14
11,1667,67.33,100
11,1668,91.56,110
11,1669,81.64,112
11,1670,60.45,88.24
11,1671,68.08,113.89
11,1672,47.77,87.5
11,1673,86.16,110.2
11,1674,81.09,120
11,1675,20.8,44.44
11,1677,71.79,130.77
11,1678,44.41,73.33
11,1679,35.93,65.22
