"자전거번호","대여날짜","고장구분"
"SPB-03449","2019-09-26","단말기"
"SPB-03449","2019-09-26","체인"
"SPB-03450","2019-04-13","단말기"
"SPB-03451","2019-05-02","체인"
"SPB-03451","2019-05-02","페달"
"SPB-03453","2019-10-14","단말기"
"SPB-03459","2019-09-30","단말기"
"SPB-03466","2019-06-15","기타 "
"SPB-03537","2019-09-23","안장"
"SPB-03564","2019-11-24","안장"
"SPB-03571","2019-05-08","타이어 "
"SPB-03588","2019-07-05","체인"
"SPB-03611","2019-10-21","타이어 "
"SPB-03611","2019-10-21","기타 "
"SPB-03613","2019-08-10","체인"
"SPB-03614","2019-03-04","안장"
"SPB-03629","2019-07-18","타이어 "
"SPB-03661","2019-06-04","단말기"
"SPB-03665","2019-06-14","기타 "
"SPB-03677","2019-06-25","페달"
"SPB-03679","2019-06-19","기타 "
"SPB-03679","2019-07-05","기타 "
"SPB-03687","2019-08-27","체인"
"SPB-03689","2019-06-11","단말기"
"SPB-03690","2019-08-28","안장"
"SPB-03695","2019-06-22","단말기"
"SPB-03701","2019-10-31","기타 "
"SPB-03713","2019-07-17","안장"
"SPB-03713","2019-10-31","단말기"
"SPB-03722","2019-06-08","단말기"
"SPB-03724","2019-09-17","타이어 "
"SPB-03727","2019-09-24","안장"
"SPB-03738","2019-08-25","안장"
"SPB-03744","2019-10-10","안장"
"SPB-03754","2019-06-04","타이어 "
"SPB-03780","2019-05-06","페달"
"SPB-03789","2019-06-10","페달"
"SPB-03789","2019-06-15","페달"
"SPB-03789","2019-06-15","체인"
"SPB-03797","2019-05-11","단말기"
"SPB-03797","2019-05-14","단말기"
"SPB-03797","2019-05-14","체인"
"SPB-03807","2019-07-15","기타 "
"SPB-03816","2019-07-17","타이어 "
"SPB-03816","2019-10-26","기타 "
"SPB-03820","2019-10-24","단말기"
"SPB-03821","2019-07-20","페달"
"SPB-03826","2019-08-09","단말기"
"SPB-03839","2019-09-19","타이어 "
"SPB-03840","2019-05-06","안장"
"SPB-03855","2019-10-05","안장"
"SPB-03863","2019-07-16","타이어 "
"SPB-03874","2019-03-07","체인"
"SPB-03874","2019-03-07","안장"
"SPB-03876","2019-10-20","안장"
"SPB-03883","2019-11-24","타이어 "
"SPB-03895","2019-09-17","안장"
"SPB-03895","2019-10-10","타이어 "
"SPB-03921","2019-04-13","기타 "
"SPB-03921","2019-08-06","기타 "
"SPB-03924","2019-08-19","기타 "
"SPB-03929","2019-09-02","페달"
"SPB-03929","2019-09-02","체인"
"SPB-03937","2019-06-24","단말기"
"SPB-03943","2019-06-17","체인"
"SPB-03959","2019-06-25","체인"
"SPB-03959","2019-08-22","타이어 "
"SPB-03959","2019-08-24","타이어 "
"SPB-03970","2019-05-07","기타 "
"SPB-03973","2019-04-13","체인"
"SPB-03976","2019-06-13","체인"
"SPB-03976","2019-06-13","안장"
"SPB-03984","2019-06-25","기타 "
"SPB-03988","2019-04-19","안장"
"SPB-04030","2019-09-26","기타 "
"SPB-04031","2019-06-13","안장"
"SPB-04045","2019-06-19","페달"
"SPB-04052","2019-11-01","단말기"
"SPB-04057","2019-10-04","페달"
"SPB-04057","2019-10-05","페달"
"SPB-04057","2019-10-05","기타 "
"SPB-04059","2019-08-21","페달"
"SPB-04059","2019-08-21","체인"
"SPB-04083","2019-11-22","체인"
"SPB-04093","2019-11-16","단말기"
"SPB-04116","2019-09-28","체인"
"SPB-04133","2019-10-22","체인"
"SPB-04158","2019-09-29","체인"
"SPB-04162","2019-09-28","타이어 "
"SPB-04186","2019-07-22","페달"
"SPB-04190","2019-11-16","단말기"
"SPB-04192","2019-08-21","체인"
"SPB-04197","2019-04-02","기타 "
"SPB-04206","2019-08-01","체인"
"SPB-04212","2019-08-28","체인"
"SPB-04223","2019-10-04","체인"
"SPB-04223","2019-10-04","단말기"
"SPB-04223","2019-10-04","페달"
"SPB-04223","2019-10-04","안장"
"SPB-04223","2019-10-04","타이어 "
"SPB-04230","2019-12-13","기타 "
"SPB-04240","2019-09-29","타이어 "
"SPB-04243","2019-06-13","체인"
"SPB-04243","2019-06-13","페달"
"SPB-04246","2019-06-03","단말기"
"SPB-04249","2019-08-08","체인"
"SPB-04249","2019-08-08","단말기"
"SPB-04250","2019-07-17","체인"
"SPB-04253","2019-07-08","체인"
"SPB-04254","2019-09-14","안장"
"SPB-04262","2019-07-22","타이어 "
"SPB-04262","2019-07-29","체인"
"SPB-04284","2019-09-26","체인"
"SPB-04296","2019-09-05","타이어 "
"SPB-04304","2019-07-03","기타 "
"SPB-04304","2019-07-03","체인"
"SPB-04323","2019-10-21","단말기"
"SPB-04323","2019-10-21","기타 "
"SPB-04330","2019-07-02","단말기"
"SPB-04330","2019-07-22","체인"
"SPB-04348","2019-10-19","단말기"
"SPB-04355","2019-04-13","타이어 "
"SPB-04355","2019-09-23","타이어 "
"SPB-04372","2019-09-18","단말기"
"SPB-04379","2019-08-22","안장"
"SPB-04393","2019-08-02","체인"
"SPB-04393","2019-08-02","페달"
"SPB-04426","2019-08-31","기타 "
"SPB-04472","2019-05-09","타이어 "
"SPB-04507","2019-06-21","체인"
"SPB-04513","2019-07-27","타이어 "
"SPB-04540","2019-10-03","체인"
